county,state,population_x,lat,lon,lat_gmap,lon_gmap,total_panel_area,number_of_solar_system_per_person,average_household_income,per_capita_income,median_household_income,housing_unit_median_value,daily_solar_radiation,electricity_price_residential,electricity_price_commercial,electricity_price_industrial,incentive_count_residential,incentive_count_nonresidential,population_y,education_high_school_graduate_rate,voting_2016_dem_percentage
Franklin Parish,la,15002,32.08075,-91.6975,32.0737103,-91.5983959,4580.85582354,0.0005999200106652446,42685.06520765232,17037.0,29534.75,77225.0,4.3825,9.33,8.66,5.41,16,17,3750.5,0.40186601975,0.273521065
Franklin city,va,8457,36.675,-76.9365,36.6776507,-76.9224608,41.21575918,0.00023649048125812936,51186.47997356392,20212.0,34735.0,149950.0,4.17,11.37,8.21,6.95,19,16,4228.5,0.256620165,0.622772277
Frederick County,md,170063,39.437953488372095,-77.41220930232559,39.3844507,-77.4701972,146233.62231900997,0.0038162328078417997,100599.49688368369,37376.348837209305,83337.53488372093,292881.3953488372,3.810000000000002,13.820000000000002,11.0,8.529999999999992,28,39,3954.953488372093,0.26409067467441855,0.45137523700000026
Frederick County,va,74087,39.17461538461537,-78.19730769230769,39.2096441,-78.26010240000001,5061.2588194400005,0.0006343892990673128,82563.61224448825,30977.46153846154,67362.84615384616,222961.53846153847,3.7199999999999993,11.370000000000003,8.210000000000004,6.950000000000002,19,16,5699.0,0.3112687013846154,0.297012434
Fredericksburg city,va,25035,38.2974,-77.4786,38.303183700000005,-77.46053990000001,680.55863062,0.0006790493309366887,74222.67624941362,32617.0,53381.4,307220.0,3.9799999999999995,11.37,8.21,6.95,19,16,5007.0,0.2633637734,0.600808262
Freeborn County,mn,30897,43.659000000000006,-93.355,43.6656285,-93.3388917,369.401036692,0.00029129041654529564,62183.33854298669,26712.7,49469.0,110590.0,3.7700000000000005,12.120000000000001,9.44,7.019999999999998,34,39,3089.7,0.3757632702,0.379245401
Freestone County,tx,19586,31.707285714285717,-96.18614285714285,31.753488899999997,-96.1526985,406.9618388,0.00035739814152966406,62242.049852653945,23794.714285714286,45421.42857142857,82957.14285714286,4.538571428571429,11.56,8.15,5.589999999999999,47,54,2798.0,0.3300488928571429,0.19203470000000003
Fremont County,co,37938,38.441545454545455,-105.21700000000001,38.530651399999996,-105.5005483,11639.72298535,0.0029521851441826137,52116.32178138594,22821.81818181818,41998.72727272727,166118.18181818182,4.75,12.120000000000003,9.879999999999999,7.4,43,50,3448.909090909091,0.3330686327272728,0.24108775099999996
Fremont County,ia,4980,40.7685,-95.6995,40.7400403,-95.64579509999999,6.556872317000001,0.00020080321285140563,63900.08013745381,26300.0,52336.5,103300.0,4.09,11.63,8.92,5.9,18,26,2490.0,0.35431414250000004,0.269836804
Fremont County,id,11678,43.9935,-111.5395,44.2242743,-111.4790031,17.94365548,8.563110121596163e-05,55958.27698216819,19618.0,47058.5,141300.0,4.35,9.93,7.8,6.6,14,19,5839.0,0.341233663,0.113930697
Fremont County,wy,35804,43.07433333333334,-108.69988888888888,43.0119968,-108.6175626,2623.0740760000003,0.0012568428108591218,64124.07491036783,26190.444444444445,50933.444444444445,181800.0,4.321111111111112,10.97,9.12,6.759999999999999,10,14,3978.222222222222,0.31499501633333327,0.253883818
Fresno County,ca,940719,36.746979274611405,-119.7588704663212,36.985898399999996,-119.23207839999999,1678371.51395572,0.029551864052921224,61527.9990943956,21147.917098445596,49713.83937823834,184946.63212435233,5.392538860103612,16.989999999999924,15.730000000000016,12.170000000000032,75,85,4874.191709844559,0.22820113133678765,0.494118211
Frio County,tx,18168,28.84133333333333,-99.14799999999998,28.831355,-99.10134980000001,2435.7683589000007,0.0008806693086745927,57481.07580995817,16496.666666666668,35754.0,67766.66666666667,4.8133333333333335,11.56,8.15,5.59,47,54,6056.0,0.3418914103333333,0.522176668
Frontier County,ne,2573,40.525,-100.382,40.5744778,-100.3497895,69.68034455,0.000388651379712398,60883.85609,25837.0,49634.0,87400.0,4.39,10.6,8.67,7.59,14,21,2573.0,0.346689895,0.122900763
